team,odds,market_prob_pct
Spain,+450,14.9
France,+500,13.66
England,+700,10.24
Brazil,+800,9.11
Portugal,+900,8.2
Argentina,+900,8.2
Germany,14-1,5.46
Netherlands,20-1,3.9
Belgium,33-1,2.41
Norway,33-1,2.41
Colombia,40-1,2.0
Morocco,40-1,2.0
Japan,50-1,1.61
United States,50-1,1.61
Mexico,66-1,1.22
Senegal,66-1,1.22
Switzerland,66-1,1.22
Turkey,66-1,1.22
Uruguay,66-1,1.22
Croatia,80-1,1.01
Ecuador,80-1,1.01
Sweden,100-1,0.81
Austria,150-1,0.54
Canada,150-1,0.54
Ivory Coast,200-1,0.41
Algeria,250-1,0.33
Bosnia and Herzegovina,250-1,0.33
Czech Republic,250-1,0.33
Egypt,250-1,0.33
South Korea,250-1,0.33
Paraguay,250-1,0.33
Scotland,250-1,0.33
Australia,500-1,0.16
Ghana,500-1,0.16
Iran,500-1,0.16
Tunisia,500-1,0.16
DR Congo,750-1,0.11
Cape Verde,"1,000-1",0.08
Iraq,"1,000-1",0.08
Jordan,"1,000-1",0.08
New Zealand,"1,000-1",0.08
Panama,"1,000-1",0.08
Qatar,"1,000-1",0.08
Saudi Arabia,"1,000-1",0.08
South Africa,"1,000-1",0.08
Uzbekistan,"1,000-1",0.08
Curacao,"2,500-1",0.03
Haiti,"2,500-1",0.03
