year,home,away,p_home,p_draw,p_away,outcome,pred,stage
2002,France,Senegal,0.772,0.159,0.069,2,0,Gironi
2002,Republic of Ireland,Cameroon,0.384,0.292,0.325,1,0,Gironi
2002,Uruguay,Denmark,0.294,0.288,0.418,2,2,Gironi
2002,Germany,Saudi Arabia,0.45,0.284,0.267,0,0,Gironi
2002,Argentina,Nigeria,0.599,0.242,0.159,0,0,Gironi
2002,England,Sweden,0.431,0.287,0.282,1,0,Gironi
2002,Paraguay,South Africa,0.404,0.29,0.306,1,0,Gironi
2002,Spain,Slovenia,0.637,0.227,0.137,0,0,Gironi
2002,Brazil,Turkey,0.546,0.26,0.194,0,0,Gironi
2002,Croatia,Mexico,0.359,0.292,0.349,2,0,Gironi
2002,Italy,Ecuador,0.674,0.21,0.116,0,0,Gironi
2002,China,Costa Rica,0.326,0.292,0.383,2,2,Gironi
2002,Japan,Belgium,0.381,0.292,0.327,1,0,Gironi
2002,South Korea,Poland,0.453,0.283,0.264,0,0,Gironi
2002,United States,Portugal,0.21,0.267,0.523,0,2,Gironi
2002,Germany,Republic of Ireland,0.416,0.289,0.295,1,0,Gironi
2002,Russia,Tunisia,0.446,0.284,0.269,0,0,Gironi
2002,Cameroon,Saudi Arabia,0.517,0.269,0.214,0,0,Gironi
2002,Denmark,Senegal,0.444,0.285,0.272,1,0,Gironi
2002,France,Uruguay,0.687,0.204,0.109,1,0,Gironi
2002,Argentina,England,0.5,0.273,0.227,2,0,Gironi
2002,Spain,Paraguay,0.666,0.214,0.121,0,0,Gironi
2002,Sweden,Nigeria,0.426,0.287,0.286,0,0,Gironi
2002,Brazil,China,0.582,0.248,0.17,0,0,Gironi
2002,Italy,Croatia,0.589,0.245,0.166,2,0,Gironi
2002,South Africa,Slovenia,0.34,0.292,0.368,0,2,Gironi
2002,Mexico,Ecuador,0.57,0.252,0.178,0,0,Gironi
2002,Costa Rica,Turkey,0.515,0.269,0.216,1,0,Gironi
2002,Japan,Russia,0.402,0.29,0.308,0,0,Gironi
2002,Portugal,Poland,0.659,0.217,0.124,0,0,Gironi
2002,Tunisia,Belgium,0.165,0.245,0.59,1,2,Gironi
2002,South Korea,United States,0.292,0.288,0.42,1,2,Gironi
2002,Cameroon,Germany,0.302,0.289,0.409,2,2,Gironi
2002,Denmark,France,0.202,0.264,0.534,0,2,Gironi
2002,Saudi Arabia,Republic of Ireland,0.173,0.25,0.577,2,2,Gironi
2002,Senegal,Uruguay,0.38,0.292,0.328,1,0,Gironi
2002,Nigeria,England,0.169,0.248,0.583,1,2,Gironi
2002,Slovenia,Paraguay,0.313,0.291,0.396,2,2,Gironi
2002,South Africa,Spain,0.107,0.202,0.691,2,2,Gironi
2002,Sweden,Argentina,0.244,0.278,0.477,1,2,Gironi
2002,Costa Rica,Brazil,0.234,0.275,0.491,2,2,Gironi
2002,Ecuador,Croatia,0.174,0.25,0.576,0,2,Gironi
2002,Mexico,Italy,0.288,0.288,0.425,1,2,Gironi
2002,Turkey,China,0.393,0.291,0.316,0,0,Gironi
2002,Poland,United States,0.137,0.227,0.636,0,2,Gironi
2002,South Korea,Portugal,0.215,0.269,0.516,0,2,Gironi
2002,Belgium,Russia,0.404,0.29,0.306,0,0,Gironi
2002,Japan,Tunisia,0.609,0.238,0.153,0,0,Gironi
2002,Denmark,England,0.373,0.292,0.335,2,0,Ottavi
2002,Germany,Paraguay,0.634,0.228,0.138,0,0,Ottavi
2002,Spain,Republic of Ireland,0.464,0.281,0.255,1,0,Ottavi
2002,Sweden,Senegal,0.439,0.286,0.276,2,0,Ottavi
2002,Brazil,Belgium,0.512,0.27,0.218,0,0,Ottavi
2002,Mexico,United States,0.496,0.274,0.23,2,0,Ottavi
2002,Japan,Turkey,0.497,0.274,0.229,2,0,Ottavi
2002,South Korea,Italy,0.238,0.277,0.485,0,2,Ottavi
2002,England,Brazil,0.329,0.292,0.379,2,2,Quarti
2002,Germany,United States,0.496,0.274,0.23,0,0,Quarti
2002,South Korea,Spain,0.245,0.278,0.477,1,2,Quarti
2002,Senegal,Turkey,0.397,0.291,0.312,2,0,Quarti
2002,South Korea,Germany,0.237,0.276,0.487,2,2,Semifinali
2002,Brazil,Turkey,0.589,0.245,0.165,0,0,Semifinali
2002,South Korea,Turkey,0.376,0.292,0.332,2,0,Finale
2002,Germany,Brazil,0.31,0.29,0.399,2,2,Finale
2006,Germany,Costa Rica,0.582,0.248,0.171,0,0,Gironi
